time,ankle_angle_r,ankle_angle_l
3.6166667,-17.67618893,-14.19127101
3.6333333,-16.94223774,-12.73296574
3.65,-15.32572655,-11.04284227
3.6666667,-4.05557936,-8.54126042
3.6833333,4.49150569,-6.72777023
3.7,3.26303379,-6.16196055
3.7166667,-2.28202417,-5.93678353
3.7333333,-5.91394103,-5.08443601
3.75,-6.68306743,-2.76837985
3.7666667,-3.21031898,0.03973244
3.7833333,3.35703873,2.70634075
3.8,10.15738615,4.31384311
3.8166667,14.7326833,4.91205685
3.8333333,17.19142619,4.56694387
3.85,18.26805689,3.7646907
3.8666667,17.60815986,3.30749373
3.8833333,15.04241964,3.44538107
3.9,7.43178106,3.53446036
3.9166667,-1.19281963,3.74228316
3.9333333,-8.72881481,4.63426144
3.95,-15.43049884,5.90700911
3.9666667,-21.59956687,6.99823303
3.9833333,-26.73800387,7.63937334
4.0,-30.45757652,7.40603745
4.0166667,-32.63778603,6.53175476
4.0333333,-32.74401322,4.55950766
4.05,-32.60422697,2.3644568
4.0666667,-30.64961664,-0.3586533
4.0833333,-28.53888736,-1.94321926
4.1,-25.36030226,-3.04896211
4.1166667,-21.74331409,-3.57890527
4.1333333,-19.04095812,-3.31578461
4.15,-16.98550851,-2.34238169
4.1666667,-15.40282162,-0.70686429
4.1833333,-14.6504456,-0.07379165
4.2,-15.32025142,-0.59322147
4.2166667,-18.02109504,-1.5810366
4.2333333,-20.9714581,-2.82257696
4.25,-22.97124255,-2.95770668
4.2666667,-23.52012211,-1.59329648
4.2833333,-21.03694471,2.51486889
4.3,-17.82891244,7.19417623
4.3166667,-17.22047783,9.85014102
4.3333333,-24.59912288,8.61115371
4.35,-31.51771547,7.15641742
4.3666667,-36.04298906,3.50616006
4.3833333,-36.20381916,-0.51031518
4.4,-32.82376752,-2.44747194
4.4166667,-26.81525899,-1.3101086
4.4333333,-19.92298461,0.75281945
4.45,-13.17059709,3.15887662
4.4666667,-7.87755475,3.28809069
4.4833333,-5.15739417,2.2659538
4.5,-4.62774834,0.54697513
4.5166667,-5.28172501,-1.62574839
4.5333333,-6.55789798,-5.09301864
4.55,-6.91627272,-7.31975907
4.5666667,-7.60633998,-8.3676279
4.5833333,-8.68510038,-8.88069506
4.6,-10.25357628,-9.78810468
4.6166667,-11.67970211,-11.27860397
4.6333333,-12.24777559,-12.85657549
4.65,-11.64827894,-13.90394801
4.6666667,-10.53706153,-14.23886942
4.6833333,-9.586181,-14.07623888
4.7,-9.58512941,-14.34025685
4.7166667,-9.77031907,-14.5951569
4.7333333,-10.10443601,-15.20689166
4.75,-10.60091863,-15.82636019
4.7666667,-11.29984676,-16.1575399
4.7833333,-12.36427858,-16.34954785
4.8,-13.8331921,-16.59438432
4.8166667,-15.52091413,-16.87505325
4.8333333,-16.91923093,-16.89495217
4.85,-18.65823405,-16.76812483
4.8666667,-19.50455587,-16.4344786
4.8833333,-20.19451118,-15.70339869
4.9,-19.99613861,-14.49250977
4.9166667,-19.40445128,-13.45980272
4.9333333,-17.99426171,-12.53410051
4.95,-14.94244495,-11.22548586
4.9666667,2.66232084,-9.56645704
4.9833333,9.17869032,-7.82597971
5.0,7.46636462,-6.09608701
5.0166667,5.05101886,-4.47918834
5.0333333,3.57704462,-3.72554001
5.05,3.86830279,-3.07008927
5.0666667,5.06413681,-2.32021071
5.0833333,7.59464516,-0.98114197
5.1,10.69300503,0.67049896
5.1166667,13.40979287,2.01907159
5.1333333,14.59597714,3.28160301
5.15,15.88457896,4.17792667
5.1666667,16.25217263,4.87303642
5.1833333,15.88557598,4.85384483
5.2,11.5439633,4.68119016
5.2166667,3.49111896,4.02509773
5.2333333,-4.2234388,3.92764148
5.25,-10.77396113,4.29546879
5.2666667,-16.36273305,4.49544739
5.2833333,-21.28236896,4.0424832
5.3,-25.74264194,2.7233282
5.3166667,-29.71993387,1.37884406
5.3333333,-33.12648889,0.19464759
5.35,-35.55099695,-1.32462139
5.3666667,-35.33994677,-3.43671281
5.3833333,-34.8105063,-6.18733837
5.4,-34.08701052,-8.87900545
5.4166667,-32.45433242,-11.22333377
5.4333333,-30.49444611,-12.24000473
5.45,-28.73852687,-10.87002629
5.4666667,-26.5398895,-7.47714561
5.4833333,-24.8908728,-3.76182617
5.5,-24.02458049,-2.13439537
5.5166667,-24.81709652,-1.85939776
5.5333333,-26.91760811,-2.49423091
5.55,-29.23496129,-2.97877684
5.5666667,-30.32133603,-2.42602476
5.5833333,-30.32635683,0.20660707
5.6,-29.84743911,3.94050057
5.6166667,-32.57099211,7.24737194
5.6333333,-38.19327163,7.41164667
5.65,-43.03372652,4.17876398
5.6666667,-43.95343462,-2.86153724
5.6833333,-41.23848041,-6.63239509
5.7,-35.62811971,-5.62010718
5.7166667,-29.08434991,-5.52661851
5.7333333,-22.43870102,-6.27753473
5.75,-17.31309402,-6.85901847
5.7666667,-14.52219996,-7.34430283
5.7833333,-13.92658462,-8.1939011
5.8,-14.30880262,-9.04554585
5.8166667,-15.39551122,-8.32835649
5.8333333,-16.49571396,-6.99584261
5.85,-16.48173262,-7.48826573
5.8666667,-15.2842874,-9.49472759
5.8833333,-13.5042945,-11.64549061
5.9,-11.68894879,-13.08959545
5.9166667,-10.32966839,-13.62507536
5.9333333,-9.55605155,-13.61676362
5.95,-9.219874,-13.5715502
5.9666667,-9.52178768,-13.97144912
5.9833333,-10.31492001,-14.91921844
6.0,-11.51222816,-16.24349702
6.0166667,-12.72291981,-17.22258851
6.0333333,-13.90183828,-18.01624224
6.05,-15.2040237,-17.6875254
6.0666667,-15.9925016,-17.23427103
6.0833333,-16.71402659,-16.30004919
6.1,-17.14811061,-15.64097071
6.1166667,-16.87797193,-14.91624672
6.1333333,-15.47784876,-13.71125639
6.15,-12.08713629,-11.848783
6.1666667,-4.01186071,-8.97109711
6.1833333,10.86697232,-6.44579167
6.2,13.74360042,-4.58134645
6.2166667,11.21726725,-3.83719772
6.2333333,7.18169358,-4.46498984
6.25,4.62601178,-4.84892848
6.2666667,4.77963882,-4.29423968
6.2833333,6.44149309,-3.237493
6.3,8.95078876,-2.20405558
6.3166667,11.36138484,-1.36241994
6.3333333,13.08471014,-0.30113341
6.35,14.15761337,0.95541556
6.3666667,14.52446271,2.53715426
6.3833333,13.56381183,3.98985993
6.4,11.22971431,5.19717756
6.4166667,8.59929461,5.79188922
6.4333333,1.95306132,5.89541171
6.45,-3.10010001,5.84412346
6.4666667,-7.52927202,5.74439813
6.4833333,-12.15271369,5.61589446
6.5,-16.8481434,5.3698884
6.5166667,-21.39088287,4.99135614
6.5333333,-25.7945887,4.21978846
6.55,-28.95801377,3.39735086
6.5666667,-29.32066612,1.91652991
6.5833333,-29.44725797,-0.23217774
6.6,-29.1573672,-3.22785777
6.6166667,-28.30378345,-6.74578448
6.6333333,-26.89503836,-10.19710046
6.65,-25.13641648,-12.42836937
6.6666667,-23.28046028,-12.73469965
6.6833333,-21.3021372,-11.00840658
6.7,-19.6180443,-8.28756726
6.7166667,-18.27390148,-5.63837192
6.7333333,-18.11004195,-3.94543971
6.75,-19.46031998,-3.14903718
6.7666667,-21.61012473,-3.62675007
6.7833333,-24.12844254,-3.50754116
6.8,-26.15996773,-1.65858979
6.8166667,-26.82615393,2.71515804
6.8333333,-25.9488737,7.05257627
6.85,-27.61705757,9.03955666
6.8666667,-32.65083126,7.29410354
6.8833333,-37.9705438,3.42461491
6.9,-40.35946436,-2.12968749
6.9166667,-38.32138928,-4.74383779
6.9333333,-33.0083361,-2.88408705
6.95,-26.04416219,-2.0210747
6.9666667,-18.93555476,-2.58994019
6.9833333,-13.66235493,-4.45929468
7.0,-10.54479111,-6.30551077
7.0166667,-9.42297527,-7.97566599
7.0333333,-9.4840542,-9.68341375
7.05,-9.83553448,-8.74583214
7.0666667,-10.15012219,-8.62305579
7.0833333,-9.92697708,-9.64803158
7.1,-9.39919898,-11.26464553
7.1166667,-9.0581464,-12.96705285
7.1333333,-8.89440404,-14.27355198
7.15,-9.4247141,-15.07491427
7.1666667,-10.00084962,-15.64013036
7.1833333,-10.59731774,-15.94384085
7.2,-11.3345309,-16.42022747
7.2166667,-11.98574108,-16.65313988
7.2333333,-12.91894951,-17.3686592
7.25,-13.99542079,-17.93182306
7.2666667,-15.07969783,-18.68471418
7.2833333,-16.14616932,-19.24387097
7.3,-17.17806587,-19.13818869
7.3166667,-17.83404333,-17.97237341
