imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_roll,imu0_pitch,imu0_yaw,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_roll,imu1_pitch,imu1_yaw,imu1_timestamp,dorsiflexion_angle
374.27,-257.81,896.24,0.55,-1.04,-1.04,-23.24,-14.67,35.02,2025-03-12T10:13:32.779800,988.04,-115.72,-128.91,-4.45,-2.2,-1.46,-100.68,-3.9,18.3,2025-03-12T10:13:32.779800,0.4951470971611399
381.59,-263.92,894.53,1.16,-1.34,-1.16,-23.21,-14.74,35.05,2025-03-12T10:13:32.818967,999.27,-121.58,-138.92,-3.35,-2.68,-2.26,-100.48,-3.8,18.79,2025-03-12T10:13:32.818967,0.5459459369096693
377.93,-246.09,897.22,0.43,-0.49,-1.16,-23.23,-14.86,35.08,2025-03-12T10:13:32.896582,990.23,-130.86,-157.96,-3.78,-2.56,-2.62,-100.34,-3.69,19.22,2025-03-12T10:13:32.896582,0.5871661523796156
373.54,-264.16,889.65,1.16,0.61,-1.16,-23.24,-14.88,35.18,2025-03-12T10:13:32.897330,969.73,-89.36,-160.4,-8.29,-2.56,-3.23,-100.29,-3.57,19.36,2025-03-12T10:13:32.897330,0.6173612017653025
373.54,-252.44,896.73,1.52,1.4,-0.61,-23.21,-14.86,35.31,2025-03-12T10:13:32.918487,996.83,-146.24,-145.51,-5.79,-2.44,-3.17,-100.26,-3.49,19.92,2025-03-12T10:13:32.918487,0.6384928591934665
373.54,-255.37,886.23,2.44,1.59,-0.91,-22.26,-16.89,25.01,2025-03-12T10:13:32.988133,977.78,-105.47,-151.37,-0.61,-3.23,-4.82,-100.22,-3.5,19.92,2025-03-12T10:13:32.988133,0.6658315165722061
375.0,-253.42,893.07,2.2,1.95,-0.85,,,,2025-03-12T10:13:32.988962,974.85,-109.13,-149.66,-1.04,-2.68,-5.0,-100.14,-3.64,19.97,2025-03-12T10:13:32.988962,0.6841043471383861
367.19,-250.49,902.1,2.44,1.89,-0.85,-23.4,-15.12,35.46,2025-03-12T10:13:33.021773,976.32,-97.17,-152.59,0.12,-2.32,-5.3,-100.04,-3.81,19.93,2025-03-12T10:13:33.021773,0.699401448975946
376.71,-255.62,891.11,2.38,1.28,0.43,-23.46,-15.2,35.46,2025-03-12T10:13:33.093290,988.04,-101.81,-160.89,2.8,-3.11,-7.2,-99.99,-3.98,20.05,2025-03-12T10:13:33.093290,0.7288291908718864
376.95,-245.12,898.44,2.44,1.1,-0.3,-23.52,-15.26,35.47,2025-03-12T10:13:33.094101,985.35,-80.08,-164.55,2.13,-0.85,-7.07,-100.0,-4.17,20.03,2025-03-12T10:13:33.094101,0.7375167915472818
362.3,-260.25,895.26,3.17,1.65,0.18,-23.56,-15.27,35.47,2025-03-12T10:13:33.125719,989.01,-121.09,-152.59,0.12,-1.77,-8.35,-100.04,-4.35,19.83,2025-03-12T10:13:33.125719,0.7498151767951247
374.27,-251.22,910.4,3.6,0.67,-0.67,-23.61,-15.31,35.46,2025-03-12T10:13:33.195883,986.33,-87.4,-161.87,0.49,-1.77,-9.82,-100.07,-4.53,19.76,2025-03-12T10:13:33.195883,0.7721970813523428
365.72,-236.57,895.75,4.45,-1.28,-0.79,-23.65,-15.35,35.44,2025-03-12T10:13:33.196776,997.31,-88.62,-156.49,-3.35,-0.67,-10.3,-100.08,-4.7,19.63,2025-03-12T10:13:33.196776,0.803200707676618
368.9,-238.28,911.38,5.18,-2.26,-1.4,-23.69,-15.38,35.42,2025-03-12T10:13:33.230983,998.05,-80.08,-146.48,-12.56,-3.66,-11.52,-100.04,-4.86,19.62,2025-03-12T10:13:33.230983,0.8741827328649046
382.32,-264.16,908.45,6.1,-4.94,-3.35,-23.72,-15.39,35.4,2025-03-12T10:13:33.295815,1006.59,-91.55,-128.66,-15.85,-4.63,-11.71,-100.0,-5.0,19.51,2025-03-12T10:13:33.295815,0.9818534311689325
376.71,-254.39,909.91,5.06,-9.33,-6.04,-23.74,-15.41,35.38,2025-03-12T10:13:33.300862,991.46,-58.59,-119.38,-20.0,-5.79,-11.71,-99.98,-5.12,19.39,2025-03-12T10:13:33.300862,1.1453761523686354
398.44,-242.19,923.1,6.46,-9.02,-8.41,-23.76,-15.41,35.35,2025-03-12T10:13:33.336112,1033.94,-76.42,-162.6,-15.24,-8.17,-13.17,-99.95,-5.25,19.24,2025-03-12T10:13:33.336112,1.3302794084370388
400.88,-250.0,901.37,8.6,-6.4,-9.27,-23.74,-15.37,35.32,2025-03-12T10:13:33.401160,979.74,-19.04,-206.05,-5.61,-7.38,-12.87,-99.91,-5.35,19.07,2025-03-12T10:13:33.401160,1.4810913257604235
399.9,-213.38,927.73,4.27,-7.87,-6.16,-23.7,-15.26,35.29,2025-03-12T10:13:33.405701,981.69,-10.74,-250.98,0.18,-3.41,-12.01,-99.9,-5.47,18.87,2025-03-12T10:13:33.405701,1.6069958351130036
559.81,-64.94,1049.07,8.35,-6.28,-0.43,2.21,-25.67,58.61,2025-03-12T10:13:33.443181,979.74,19.04,-210.69,4.39,-5.06,-12.62,-99.93,-5.6,18.45,2025-03-12T10:13:33.443181,1.7344981325610218
455.08,-231.45,914.31,2.2,-4.02,5.79,-23.64,-15.07,35.22,2025-03-12T10:13:33.502051,991.94,-15.87,-201.42,0.49,-2.8,-8.41,-99.94,-5.72,18.39,2025-03-12T10:13:33.502051,1.8155826608744043
537.11,-87.65,820.56,9.7,-6.77,2.87,-23.65,-15.02,35.19,2025-03-12T10:13:33.510831,949.95,-34.18,-238.04,10.37,-8.05,-9.51,-99.93,-5.84,18.17,2025-03-12T10:13:33.510831,1.9772498551037327
552.0,-126.22,781.25,15.43,-9.21,0.85,-23.66,-14.95,35.17,2025-03-12T10:13:33.545651,918.95,41.99,-268.31,13.35,-18.54,-9.33,-99.91,-5.94,17.84,2025-03-12T10:13:33.545651,2.267767771958723
541.99,-130.86,819.09,16.46,-13.41,1.34,-23.69,-14.89,35.14,2025-03-12T10:13:33.603235,946.04,18.8,-286.38,-1.22,-28.17,-9.51,-99.89,-6.01,17.6,2025-03-12T10:13:33.603235,2.696557660787521
536.87,-100.83,866.94,18.66,-15.0,-0.43,-23.7,-14.82,35.1,2025-03-12T10:13:33.614893,930.18,27.34,-292.97,2.62,-35.18,-9.39,-99.86,-6.03,17.46,2025-03-12T10:13:33.614893,3.211131040965135
526.12,-112.79,865.48,21.34,-12.56,-4.57,-23.73,-14.77,35.1,2025-03-12T10:13:33.650721,968.75,2.2,-306.64,1.4,-44.82,-7.5,-99.89,-6.0,17.54,2025-03-12T10:13:33.650721,3.7965186558640664
564.45,-95.95,892.58,19.21,-12.5,-14.82,-23.76,-14.71,35.1,2025-03-12T10:13:33.709477,980.22,65.92,-336.43,-11.83,-56.46,-9.27,-99.94,-5.95,17.4,2025-03-12T10:13:33.709477,4.495662435828823
663.33,-109.86,838.13,24.45,-20.61,-19.39,-23.79,-14.67,35.11,2025-03-12T10:13:33.722627,955.81,-48.34,-358.4,-19.09,-61.83,-8.48,-100.02,-5.88,17.53,2025-03-12T10:13:33.722627,5.327860502018469
716.8,-133.06,773.68,26.4,-39.33,-17.07,-23.84,-14.64,35.13,2025-03-12T10:13:33.767658,966.55,-9.52,-418.46,-22.01,-80.61,-10.12,-100.08,-5.81,17.45,2025-03-12T10:13:33.767658,6.535325497104616
